id,legal_name,trade_name,gstin,pan,state,address,bank_account,phone,email,filing_ip,registered_on,aadhaar_authenticated
V001,Sundaram Steel Traders,Sundaram Steel,29FCOAM1497S1Z1,FCOAM1497S,Karnataka,"Peenya Industrial Area, Phase II, Bengaluru 560058",92782703481,+919818199485,accounts@sundaramsteel.co.in,49.42.102.79,2023-06-15,True
V002,Kaveri Packaging Pvt Ltd,Kaveri Pack,29SYZAV8108W1Z9,SYZAV8108W,Karnataka,"Bommasandra Industrial Area, Bengaluru 560099",24637059036,+919814154439,accounts@kaveripack.co.in,49.50.226.197,2020-02-09,True
V003,Deccan Polymers,Deccan Poly,29LYJAK2118N1Z4,LYJAK2118N,Karnataka,"Jigani Link Road, Anekal, Bengaluru 562106",76504780191,+919878556882,accounts@deccanpoly.co.in,49.47.174.75,2023-10-02,True
V004,Anand Engineering Works,Anand Engg,27FABAS6198S1Z8,FABAS6198S,Maharashtra,"MIDC Bhosari, Pune 411026",69848804287,+919819761441,accounts@anandengg.co.in,49.46.128.86,2022-06-28,True
V005,Mahalaxmi Fasteners,Mahalaxmi,27AOHAK7944K1Z8,AOHAK7944K,Maharashtra,"Andheri East, Mumbai 400093",17361284727,+919881760493,accounts@mahalaxmi.co.in,49.51.172.97,2023-04-09,True
V006,Nirmal Chemicals LLP,Nirmal Chem,24ETIAT3455F1Z9,ETIAT3455F,Gujarat,"GIDC Vatva, Ahmedabad 382445",18878253741,+919810703017,accounts@nirmalchem.co.in,49.42.14.202,2019-12-14,True
V007,Sagar Logistics Services,Sagar Log,24SJUAN9185H1Z8,SJUAN9185H,Gujarat,"Sarkhej Road, Ahmedabad 380055",29160224500,+919858510484,accounts@sagarlog.co.in,49.46.111.133,2020-09-04,True
V008,Kapoor Electricals,Kapoor Elec,07VAQAP1683Y1Z4,VAQAP1683Y,Delhi,"Naraina Industrial Area, New Delhi 110028",35280162749,+919818079813,accounts@kapoorelec.co.in,49.45.75.77,2020-09-10,True
V009,Sri Balaji Textiles,Balaji Tex,33NWXAM4510H1Z5,NWXAM4510H,Tamil Nadu,"Tirupur Road, Coimbatore 641604",32684845158,+919830112379,accounts@balajitex.co.in,49.40.77.202,2023-10-09,True
V010,Vel Murugan Spinners,Vel Murugan,33YPNAU7762I1Z9,YPNAU7762I,Tamil Nadu,"SIDCO Industrial Estate, Coimbatore 641021",23415807820,+919843568634,accounts@velmurugan.co.in,49.53.94.28,2019-03-10,True
V011,Hindustan Abrasives,Hind Abrasives,06ADBAS1712B1Z3,ADBAS1712B,Haryana,"Sector 25, Faridabad 121004",21328673778,+919885426779,accounts@hindabrasives.co.in,49.51.150.96,2020-01-05,True
V012,Trimurti Castings,Trimurti,27SOZAO7253L1Z1,SOZAO7253L,Maharashtra,"Waluj MIDC, Chhatrapati Sambhajinagar 431136",91877965372,+919813384416,accounts@trimurti.co.in,49.45.72.64,2020-05-27,True
V013,Godavari Rubber Products,Godavari Rub,29FWTAM2503C1Z7,FWTAM2503C,Karnataka,"Yeshwanthpur Industrial Suburb, Bengaluru 560022",99942700215,+919838976812,accounts@godavarirub.co.in,49.55.189.191,2019-06-13,True
V014,Sharda Industrial Supplies,Sharda Ind,07AATAP7891Y1Z3,AATAP7891Y,Delhi,"Wazirpur Industrial Area, New Delhi 110052",87940190476,+919835339016,accounts@shardaind.co.in,49.33.125.84,2020-03-14,True
V015,Konark Metals,Konark,24ZHDAL6240X1Z1,ZHDAL6240X,Gujarat,"Odhav GIDC, Ahmedabad 382415",48174928507,+919885974880,accounts@konark.co.in,49.50.104.155,2023-11-18,True
V016,Amrit Tools & Dies,Amrit Tools,06JOJAY7832D1Z9,JOJAY7832D,Haryana,"Sector 6, IMT Manesar 122050",91440936355,+919871489682,accounts@amrittools.co.in,49.31.164.243,2020-03-31,True
V017,Prakash Wire Industries,Prakash Wire,29ODQAU5568G1Z3,ODQAU5568G,Karnataka,Doddaballapur Industrial Area 561203,18023976987,+919859787591,accounts@prakashwire.co.in,49.39.76.192,2019-11-13,True
V018,Nandi Hydraulics,Nandi Hyd,29OSFAT3568V1Z4,OSFAT3568V,Karnataka,"Hebbal Industrial Area, Mysuru 570016",16316082814,+919881974015,accounts@nandihyd.co.in,49.31.65.195,2023-08-23,True
V019,Bharat Insulation Co,Bharat Ins,27MKFAG8841M1Z9,MKFAG8841M,Maharashtra,"Taloja MIDC, Navi Mumbai 410208",52410540334,+919844803060,accounts@bharatins.co.in,49.48.216.52,2023-01-11,True
V020,Suvarna Alloys,Suvarna,33ZLUAI9507B1Z3,ZLUAI9507B,Tamil Nadu,"Ambattur Industrial Estate, Chennai 600058",63563952345,+919815386010,accounts@suvarna.co.in,49.53.133.134,2020-12-04,True
V021,Ganga Paper Mills,Ganga Paper,06UJOAC3641Y1Z7,UJOAC3641Y,Haryana,"Sector 57, Faridabad 121004",71983670476,+919838025125,accounts@gangapaper.co.in,49.54.151.164,2019-03-13,True
V022,Vindhya Forgings,Vindhya,24DMNAV2597V1Z5,DMNAV2597V,Gujarat,Rajkot Industrial Area 360004,91755437686,+919818974477,accounts@vindhya.co.in,49.57.180.104,2021-09-05,True
V023,Chetak Bearings,Chetak,27KUPAF2491O1Z8,KUPAF2491O,Maharashtra,"Chinchwad, Pune 411019",78554357188,+919842028849,accounts@chetak.co.in,49.50.3.125,2019-04-10,True
V024,Ashoka Lubricants,Ashoka Lub,07QBWAY4403Z1Z8,QBWAY4403Z,Delhi,"Okhla Phase I, New Delhi 110020",53719859051,+919810824768,accounts@ashokalub.co.in,49.57.181.50,2022-12-19,True
V025,Malabar Coir Exports,Malabar Coir,29MVEAJ8478Q1Z1,MVEAJ8478Q,Karnataka,"Attibele Industrial Area, Bengaluru 562107",73266202118,+919830546843,accounts@malabarcoir.co.in,49.41.242.173,2023-10-26,True
V026,Rajdhani Sheet Metal,Rajdhani,07ORXAM6380M1Z3,ORXAM6380M,Delhi,"Mayapuri Industrial Area, New Delhi 110064",16628846974,+919858698949,accounts@rajdhani.co.in,49.54.182.150,2019-06-30,True
V027,Saraswati Adhesives,Saraswati,24XUKAW7085U1Z5,XUKAW7085U,Gujarat,"Naroda GIDC, Ahmedabad 382330",35826467439,+919851136666,accounts@saraswati.co.in,49.35.36.206,2023-10-04,True
V028,Neelkanth Valves,Neelkanth,27PSGAD4338M1Z2,PSGAD4338M,Maharashtra,"Ambernath MIDC, Thane 421506",22757577938,+919834796551,accounts@neelkanth.co.in,49.55.228.53,2023-01-06,True
V029,Sundaram Steel Traders (Maharashtra),Sundaram Steel MH,27FCOAM1497S1Z1,FCOAM1497S,Maharashtra,"Kalamboli Steel Market, Navi Mumbai 410218",92782703481,+919818199485,accounts@sundaramsteelmh.co.in,49.42.102.79,2023-06-15,True
V030,Meridian Traders,Meridian,03AMVAV4988P1Z2,AMVAV4988P,Punjab,"Shop 14, Gill Road, Industrial Area B, Ludhiana 141003",50100294471,+919812204471,meridian.ludhiana@gmail.com,103.87.44.19,2025-02-12,False
V031,Kavach Supplies Co,Kavach,03ZJAAU4995C1Z4,ZJAAU4995C,Punjab,"Shop 14, Gill Road, Industrial Area B, Ludhiana 141003",50100294471,+919812204471,kavach.ludhiana@gmail.com,103.87.44.19,2025-02-15,False
V032,Orbit Metal Corporation,Orbit Metal,03DUJAB3278B1Z7,DUJAB3278B,Punjab,"Shop 14, Gill Road, Industrial Area B, Ludhiana 141003",50100294471,+919812204471,orbit metal.ludhiana@gmail.com,103.87.44.19,2025-01-30,False
V033,Zenith Commodities,Zenith,07CHZAU5045K1Z2,CHZAU5045K,Delhi,"2nd Floor, 42 Ranjit Nagar, New Delhi 110008",85716771760,+919890383329,accounts.filing2024@rediffmail.com,49.36.112.129,2024-08-18,True
V034,Apex Trade Links,Apex Trade,07CBWAE5286Y1Z1,CBWAE5286Y,Delhi,"2nd Floor, 42 Ranjit Nagar, New Delhi 110008",81120255178,+919820098396,accounts.filing2024@rediffmail.com,49.43.49.185,2024-08-31,True
